Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,mvp_id
1950,Minneapolis Lakers,Syracuse Nationals,4–2,Minneapolis Lakers,Syracuse Nationals,
1951,Rochester Royals,New York Knicks,4–3,Rochester Royals,New York Knicks,
1952,Minneapolis Lakers,New York Knicks,4–3,Minneapolis Lakers,New York Knicks,
1953,Minneapolis Lakers,New York Knicks,4–1,Minneapolis Lakers,New York Knicks,
1954,Minneapolis Lakers,Syracuse Nationals,4–3,Minneapolis Lakers,Syracuse Nationals,
1955,Fort Wayne Pistons,Syracuse Nationals,3–4,Syracuse Nationals,Fort Wayne Pistons,
1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,Fort Wayne Pistons,77847
1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,600003
1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,Boston Celtics,935
1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,Minneapolis Lakers,77847
1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,76375
1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,St. Louis Hawks,935
1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,935
1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,935
1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,San Francisco Warriors,600015
1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,Los Angeles Lakers,935
1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,76375
1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,San Francisco Warriors,76375
1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,76375
1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,78392
1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,Los Angeles Lakers,77929
1971,Milwaukee Bucks,Baltimore Bullets,4–0,Milwaukee Bucks,Baltimore Bullets,
1972,Los Angeles Lakers,New York Knicks,4–1,Los Angeles Lakers,New York Knicks,
1973,Los Angeles Lakers,New York Knicks,1–4,New York Knicks,Los Angeles Lakers,76462
1974,Milwaukee Bucks,Boston Celtics,3–4,Boston Celtics,Milwaukee Bucks,
1975,Golden State Warriors,Washington Bullets,4–0,Golden State Warriors,Washington Bullets,77498
1976,Phoenix Suns,Boston Celtics,2–4,Boston Celtics,Phoenix Suns,
1977,Portland Trail Blazers,Philadelphia 76ers,4–2,Portland Trail Blazers,Philadelphia 76ers,
1978,Seattle SuperSonics,Washington Bullets,3–4,Washington Bullets,Seattle SuperSonics,
1979,Seattle SuperSonics,Washington Bullets,4–1,Seattle SuperSonics,Washington Bullets,77449
1980,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,
1981,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,76681
1982,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,77449
1983,Los Angeles Lakers,Philadelphia 76ers,0–4,Philadelphia 76ers,Los Angeles Lakers,77449
1984,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,1449
1985,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,1449
1986,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,1449
1987,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,77168
1988,Los Angeles Lakers,Detroit Pistons,4–3,Los Angeles Lakers,Detroit Pistons,893
1989,Los Angeles Lakers,Detroit Pistons,0–4,Detroit Pistons,Los Angeles Lakers,77168
1990,Portland Trail Blazers,Detroit Pistons,1–4,Detroit Pistons,Portland Trail Blazers,77168
1991,Los Angeles Lakers,Chicago Bulls,1–4,Chicago Bulls,Los Angeles Lakers,893
1992,Portland Trail Blazers,Chicago Bulls,2–4,Chicago Bulls,Portland Trail Blazers,893
1993,Phoenix Suns,Chicago Bulls,2–4,Chicago Bulls,Phoenix Suns,787
1994,Houston Rockets,New York Knicks,4–3,Houston Rockets,New York Knicks,165
1995,Houston Rockets,Orlando Magic,4–0,Houston Rockets,Orlando Magic,1629130
1996,Seattle SuperSonics,Chicago Bulls,2–4,Chicago Bulls,Seattle SuperSonics,893
1997,Utah Jazz,Chicago Bulls,2–4,Chicago Bulls,Utah Jazz,252
1998,Utah Jazz,Chicago Bulls,2–4,Chicago Bulls,Utah Jazz,893
1999,San Antonio Spurs,New York Knicks,4–1,San Antonio Spurs,New York Knicks,252
2000,Los Angeles Lakers,Indiana Pacers,4–2,Los Angeles Lakers,Indiana Pacers,406
2001,Los Angeles Lakers,Philadelphia 76ers,4–1,Los Angeles Lakers,Philadelphia 76ers,947
2002,Los Angeles Lakers,New Jersey Nets,4–0,Los Angeles Lakers,New Jersey Nets,1495
2003,San Antonio Spurs,New Jersey Nets,4–2,San Antonio Spurs,New Jersey Nets,1495
2004,Los Angeles Lakers,Detroit Pistons,1–4,Detroit Pistons,Los Angeles Lakers,708
2005,San Antonio Spurs,Detroit Pistons,4–3,San Antonio Spurs,Detroit Pistons,959
2006,Dallas Mavericks,Miami Heat,2–4,Miami Heat,Dallas Mavericks,959
2007,San Antonio Spurs,Cleveland Cavaliers,4–0,San Antonio Spurs,Cleveland Cavaliers,1717
2008,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,977
2009,Los Angeles Lakers,Orlando Magic,4–1,Los Angeles Lakers,Orlando Magic,2544
2010,Los Angeles Lakers,Boston Celtics,4–3,Los Angeles Lakers,Boston Celtics,2544
2011,Dallas Mavericks,Miami Heat,4–2,Dallas Mavericks,Miami Heat,
2012,Oklahoma City Thunder,Miami Heat,1–4,Miami Heat,Oklahoma City Thunder,2544
2013,San Antonio Spurs,Miami Heat,3–4,Miami Heat,San Antonio Spurs,2544
2014,San Antonio Spurs,Miami Heat,4–1,San Antonio Spurs,Miami Heat,201142
2015,Golden State Warriors,Cleveland Cavaliers,4–2,Golden State Warriors,Cleveland Cavaliers,201939
2016,Golden State Warriors,Cleveland Cavaliers,4–3,Cleveland Cavaliers,Golden State Warriors,201939
2017,Golden State Warriors,Cleveland Cavaliers,4-2,Golden State Warriors,Cleveland Cavaliers,
2018,Golden State Warriors,Cleveland Cavaliers,4-0,Golden State Warriors,Cleveland Cavaliers,201935
2019,Golden State Warriors,Toronto Raptors,2-4,Toronto Raptors,Golden State Warriors,203507
2020,Los Angeles Lakers,Miami Heat,4-2,Los Angeles Lakers,Miami Heat,203507
2021,Phoenix Suns,Milwaukee Bucks,2-4,Milwaukee Bucks,Phoenix Suns,203999
2022,Golden State Warriors,Boston Celtics,2-4,Boston Celtics,Golden State Warriors,203999
2023,Denver Nuggets,Miami Heat,4-1,Denver Nuggets,Miami Heat,203954
2024,,,,,,203999
